"","condition","worker_id","education","english_native","ethnicity","gender","age","religion","comments","trialNum","swatch","response","responseCoded","rt","country"
"163","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",19,"BI2A00032","equally yes/no",0,1751,"india"
"164","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",20,"BI2A00030","maybe no",-1,1366,"india"
"165","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",21,"BI2A00020","probably yes",2,1846,"india"
"166","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",22,"BI2A00028","maybe yes",1,2406,"india"
"167","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",23,"BI2A00008","probably yes",2,1542,"india"
"168","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",24,"BI2A00013","maybe yes",1,647,"india"
"169","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",25,"BI2A00021","probably no",-2,1039,"india"
"170","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",26,"BI2A00004","probably yes",2,1062,"india"
"171","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",27,"BI2A00026","probably yes",2,1526,"india"
"172","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",28,"BI2A00042","maybe no",-1,981,"india"
"173","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",29,"BI2A00040","probably no",-2,1638,"india"
"174","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",30,"BI2A00041","definitely no",-3,1639,"india"
"175","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",31,"BI2A00015","definitely yes",3,1111,"india"
"176","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",32,"BI2A00014","definitely no",-3,1319,"india"
"177","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",33,"BI2A00047","definitely no",-3,1591,"india"
"178","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",34,"BI2A00024","probably yes",2,1582,"india"
"179","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",35,"BI2A00043","equally yes/no",0,967,"india"
"180","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",36,"BI2A00018","maybe yes",1,759,"india"
"181","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",37,"BI2A00012","probably yes",2,1087,"india"
"182","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",38,"BI2A00001","maybe yes",1,598,"india"
"183","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",39,"BI2A00002","definitely yes",3,991,"india"
"184","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",40,"BI2A00010","probably yes",2,663,"india"
"185","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",41,"BI2A00037","maybe no",-1,1367,"india"
"186","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",42,"BI2A00046","definitely no",-3,1487,"india"
"187","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",43,"BI2A00033","definitely no",-3,1631,"india"
"188","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",44,"BI2A00048","definitely no",-3,598,"india"
"189","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",45,"BI2A00027","definitely no",-3,709,"india"
"190","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",46,"BI2A00009","definitely yes",3,1375,"india"
"191","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",47,"BI2A00036","definitely no",-3,1319,"india"
"192","animal","AT6HH4TKU4WNH","college_bachDegree",NA,"white","male",41,"christianity_catholic","",48,"BI2A00031","definitely no",-3,1415,"india"
"193","animal","A28CZ3YYL41JAZ","grad_degree",NA,"white","male",40,"christianity_catholic","none",1,"BI2A00046","definitely no",-3,2859,"india"
"194","animal","A28CZ3YYL41JAZ","grad_degree",NA,"white","male",40,"christianity_catholic","none",2,"BI2A00018","maybe yes",1,3022,"india"
"195","animal","A28CZ3YYL41JAZ","grad_degree",NA,"white","male",40,"christianity_catholic","none",3,"BI2A00007","definitely yes",3,1613,"india"
"196","animal","A28CZ3YYL41JAZ","grad_degree",NA,"white","male",40,"christianity_catholic","none",4,"BI2A00008","definitely yes",3,1123,"india"
"197","animal","A28CZ3YYL41JAZ","grad_degree",NA,"white","male",40,"christianity_catholic","none",5,"BI2A00031","definitely no",-3,1697,"india"
"198","animal","A28CZ3YYL41JAZ","grad_degree",NA,"white","male",40,"christianity_catholic","none",6,"BI2A00001","probably yes",2,2702,"india"
