"","condition","worker_id","education","english_native","gender","age","religion","comments","trialNum","swatch","response","responseCoded","rt","country"
"95","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",47,"BI2A00004","definitely no",-3,926,"india"
"96","hungry","A2LWK1B4X25M5Q","grad_some","yes_multiple","male",35,"hinduism","nothing",48,"BI2A00032","probably no",-2,704,"india"
"97","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",1,"BI2A00040","maybe no",-1,21006,"india"
"98","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",2,"BI2A00010","probably no",-2,3282,"india"
"99","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",3,"BI2A00039","probably no",-2,4828,"india"
"100","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",4,"BI2A00035","probably no",-2,7938,"india"
"101","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",5,"BI2A00012","definitely no",-3,2942,"india"
"102","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",6,"BI2A00047","definitely no",-3,1438,"india"
"103","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",7,"BI2A00003","definitely no",-3,1339,"india"
"104","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",8,"BI2A00027","definitely no",-3,1220,"india"
"105","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",9,"BI2A00046","definitely no",-3,1515,"india"
"106","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",10,"BI2A00002","definitely no",-3,1421,"india"
"107","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",11,"BI2A00031","definitely no",-3,4327,"india"
"108","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",12,"BI2A00014","definitely no",-3,1074,"india"
"109","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",13,"BI2A00019","definitely no",-3,6344,"india"
"110","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",14,"BI2A00004","definitely no",-3,1075,"india"
"111","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",15,"BI2A00042","definitely no",-3,1228,"india"
"112","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",16,"BI2A00015","definitely no",-3,1061,"india"
"113","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",17,"BI2A00001","maybe yes",1,7647,"india"
"114","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",18,"BI2A00011","maybe yes",1,9421,"india"
"115","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",19,"BI2A00036","maybe no",-1,3338,"india"
"116","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",20,"BI2A00022","probably no",-2,3283,"india"
"117","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",21,"BI2A00041","maybe yes",1,10749,"india"
"118","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",22,"BI2A00021","probably no",-2,2012,"india"
"119","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",23,"BI2A00044","probably no",-2,1033,"india"
"120","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",24,"BI2A00013","probably no",-2,2151,"india"
"121","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",25,"BI2A00025","maybe no",-1,3914,"india"
"122","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",26,"BI2A00018","probably no",-2,2787,"india"
"123","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",27,"BI2A00029","probably no",-2,2331,"india"
"124","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",28,"BI2A00016","probably no",-2,1196,"india"
"125","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",29,"BI2A00030","probably no",-2,1692,"india"
"126","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",30,"BI2A00017","probably no",-2,1844,"india"
"127","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",31,"BI2A00023","probably no",-2,1204,"india"
"128","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",32,"BI2A00005","probably no",-2,956,"india"
"129","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",33,"BI2A00020","probably no",-2,1340,"india"
"130","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",34,"BI2A00008","probably no",-2,1058,"india"
"131","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",35,"BI2A00024","probably no",-2,5490,"india"
"132","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",36,"BI2A00007","probably no",-2,772,"india"
"133","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",37,"BI2A00048","probably no",-2,1234,"india"
"134","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",38,"BI2A00032","probably no",-2,1244,"india"
"135","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",39,"BI2A00045","probably yes",2,5870,"india"
"136","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",40,"BI2A00009","probably no",-2,2664,"india"
"137","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",41,"BI2A00033","probably no",-2,11,"india"
"138","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",42,"BI2A00043","maybe yes",1,4034,"india"
"139","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",43,"BI2A00026","probably no",-2,1428,"india"
"140","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",44,"BI2A00028","probably no",-2,596,"india"
"141","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",45,"BI2A00038","probably no",-2,621,"india"
"142","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",46,"BI2A00037","probably no",-2,836,"india"
"143","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",47,"BI2A00006","probably no",-2,2877,"india"
"144","happy","A2KYUAUPZFQS12","college_bachDegree","no_moderatelywell","male",28,"islam","",48,"BI2A00034","probably no",-2,1807,"india"
"145","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",1,"BI2A00033","probably no",-2,9899,"india"
"146","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",2,"BI2A00041","probably no",-2,2179,"india"
"147","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",3,"BI2A00015","definitely no",-3,1428,"india"
"148","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",4,"BI2A00008","definitely no",-3,1392,"india"
"149","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",5,"BI2A00016","equally yes/no",0,2480,"india"
"150","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",6,"BI2A00031","maybe yes",1,1666,"india"
"151","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",7,"BI2A00003","probably no",-2,1743,"india"
"152","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",8,"BI2A00005","definitely no",-3,1074,"india"
"153","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",9,"BI2A00038","equally yes/no",0,2209,"india"
"154","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",10,"BI2A00046","probably yes",2,2561,"india"
"155","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",11,"BI2A00001","probably no",-2,1479,"india"
"156","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",12,"BI2A00011","maybe yes",1,1962,"india"
"157","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",13,"BI2A00044","maybe yes",1,1484,"india"
"158","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",14,"BI2A00032","equally yes/no",0,1784,"india"
"159","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",15,"BI2A00030","probably yes",2,1569,"india"
"160","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",16,"BI2A00043","definitely yes",3,1238,"india"
"161","happy","A1CNEUGI7LWLR7","college_bachDegree","no","male",26,"hinduism","no",17,"BI2A00047","probably yes",2,2201,"india"
